Name,Year,Value
"Boulder, CO - USA",2020,66
"San Francisco, CA - USA",2020,70.5
"Santa Monica, CA - USA",2020,50
Auckland - New Zealand,2020,84.59
"Park City, UT - USA",2020,35.5
"Salt Lake City, UT - USA",2020,32.94
Gladsaxe Kommune - Denmark,2020,44.2
Groningen - Netherlands,2020,22.24
"Austin, TX - USA",2020,41.14
Vancouver - Canada,2020,42.5
"Lakewood, CO - USA",2020,34.33
"Los Angeles, CA - USA",2020,33
Sydney - Australia,2020,32
District of Columbia - USA,2020,24.8
Firenze - Italy,2020,33.16
Pietermaritzburg - South Africa,2020,30
"Columbia, MO - USA",2020,17.5
"Las Vegas, NV - USA",2020,20.71
New Taipei - Taiwan,2020,10
"Minneapolis, MN - USA",2020,3.62
Taipei City - Taiwan,2020,4
"Boulder, CO - USA",2030,100
"San Francisco, CA - USA",2030,100
"Santa Monica, CA - USA",2030,100
Auckland - New Zealand,2030,95.41
"Park City, UT - USA",2030,89.25
"Salt Lake City, UT - USA",2030,88.82
Gladsaxe Kommune - Denmark,2030,81.4
Groningen - Netherlands,2030,74.08
"Austin, TX - USA",2030,68.86
Vancouver - Canada,2030,61.67
"Lakewood, CO - USA",2030,55.67
"Los Angeles, CA - USA",2030,53
Sydney - Australia,2030,50
District of Columbia - USA,2030,45.8
Firenze - Italy,2030,45
Pietermaritzburg - South Africa,2030,30
"Columbia, MO - USA",2030,30
"Las Vegas, NV - USA",2030,29.29
New Taipei - Taiwan,2030,14
"Minneapolis, MN - USA",2030,10
Taipei City - Taiwan,2030,6
